Spadek	DN	400	DN	500	DN	600	DN	700	DN	800	DN	900
1	Q	V	Q	V	Q	V	Q	V	Q	V	Q	V
%0	I/s	m/s	I/s	m/s	I/s	m/s	1/s	m/s	I/s	m/s	I/s	m/s
0,2	29,8	0,24	53,8	0,27	87	0,31	131	0,34	186	0,37	253	0,4
0,4	42,2	0,34	76	0,39	123	0,44	185	0,48	262	0,52	358	0,56
0,6	51,6	0,41	93,1	0,47	151	0,53	226	0,59	321	0,64	438	0,69
0,8	59,6	0,47	108	0,55	174	0,62	261	0,68	371	0,74	506	0,8
1	66,7	0,53	120	0,61	194	0,69	292	0,76	415	0,83	566	0,89
1,2	73	0,58	132	0,67	213	0,75	320	0,83	455	0,9	620	0,97
1,4	78,9	0,63	142	0,72	230	0,81	345	0,9	491	0,98	669	1,05
1,6	84,3	0,67	152	0,77	246	0,87	369	0,96	525	1,04	716	1,13
1,8	89,4	0,71	161	0,82	261	0,92	392	1,02	557	1,11	759	1,19
2	94,3	0,75	170	0,87	275	0,97	413	1,07	587	1,17	800	1,26
2,2	98,9	0,79	178	0,91	288	1,02	433	1,13	615	1,23	839	1,32
2,4	103	0,82	186	0,95	301	1,07	452	1,18	643	1,28	876	1,38
2,6	107	0,86	194	0,99	314	1,11	471	1,22	669	1,33	912	1,43
2,8	112	0,89	201	1,02	325	1,15	489	1,27	694	1,38	947	1,49
3	115	0,92	208	1,06	337	1,19	506	1,31	719	1,43	980	1,54
3,2	119	0,95	215	1,1	348	1,23	522	1,36	742	1,48	1012	1,59
3,4	123	0,98	222	1,13	359	1,27	538	1,4	765	1,52	1043	1,64
3,6	126	1,01	228	1,16	369	1,31	554	1,44	787	1,57	1073	1,69
3,8	130	1,03	234	1,19	379	1,34	569	1,48	809	1,61	1103	1,73
4	133	1,06	240	1,23	389	1,38	584	1,52	830	1,65	1131	1,78
4,2	137	1,09	246	1,26	399	1,41	598	1,56	850	1,69	1159	1,82
4,4	140	1,11	252	1,28	408	1,44	612	1,59	870	1,73	1187	1,87
4,6	143	1,14	258	1,31	417	1,48	626	1,63	890	1,77	1213	1,91
4,8	146	1,16	263	1,34	426	1,51	640	1,66	909	1,81	1239	1,95
