Spadek	DN	400	DN	500	DN	600	DN	700	DN	800	DN	900
	Q	V	Q	V	Q	V	Q	V	Q	V	Q	V
%o	I/s	m/s	I/s	m/s	I/s	m/s	I/s	m/s	I/s	m/s	l/s	m/s
5	149	1,19	269	1,37	435	1,54	653	1,70	928	1,85	1265	1,99
5,5	156	1,24	282	1,44	456	1,61	685	1,78	973	1,94	1327	2,09
6	163	1,3	294	1,50	476	1,69	715	1,86	1016	2,02	1386	2,18
6,5	170	1,35	306	1,56	496	1,75	744	1,94	1058	2,11	1442	2,27
7	176	1,4	318	1,62	515	1,82	772	2,01	1098	2,19	1497	2,35
7,5	183	1,45	329	1,68	533	1,88	800	2,08	1136	2,26	1549	2,44
8	189	1,50	340	1,73	550	1,95	826	2,15	1174	2,34	1600	2,52
8,5	194	1,55	350	1,79	567	2,01	851	2,21	1210	2,41	1649	2,59
9	200	1,59	361	1,84	583	2,06	876	2,28	1245	2,48	1697	2,67
9,5	205	1,64	371	1,89	599	2,12	900	2,34	1279	2,55	1744	2,74
10	211	1,68	380	1,94	615	2,18	923	2,4	1312	2,61	1789	2,81
10,5	216	1,72	390	1,98	630	2,23	946	2,46	1345	2,68	1833	2,88
11	221	1,76	399	2,03	645	2,28	968	2,52	1376	2,74	1876	2,95
11,5	226	1,8	408	2,08	660	2,33	990	2,57	1407	2,80	1918	3,02
12	231	1,84	416	2,12	674	2,38	1011	2,63	1437	2,86	1960	3,08
12,5	236	1,88	425	2,17	688	2,43	1032	2,68	1467	2,92	2000	3,15
13	240	1,91	433	2,21	701	2,48	1053	2,74	1496	2,98	2040	3,21
13,5	245	1,95	442	2,25	715	2,53	1073	2,79	1525	3,03	2078	3,27
14	249	1,99	450	2,29	728	2,57	1092	2,84	1553	3,09	2117	3,33
14,5	254	2,02	458	2,33	741	2,62	1112	2,89	1580	3,15	2154	3,39
15	258	2,06	466	2,37	753	2,67	1131	2,94	1607	3,20	2191	3,45
15,5	262	2,09	473	2,41	766	2,71	11149	2,99	1634	3,25	2227	3,50
16	267	2,12	481	2,45	778	2,75	1168	3,04	1660	3,30	2263	3,56
16,5	271	2,16	488	2,49	790	2,8	1186	3,08	1686	3,35	2298	3,61
